Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
07-07-2016,35.33,84.31,16.95,44.35,34.22,12.06,0.84,5.07,25.24,81,Satisfactory
08-07-2016,40.64,92.73,28.48,52.89,47.01,11.91,1.07,6.57,16.24,112,Moderate
09-07-2016,33.25,77.65,23.32,45.37,39.49,12.77,1,8.79,18.38,81,Satisfactory
10-07-2016,26.64,69.68,11.03,36.51,26,12.82,0.88,9.97,27.98,81,Satisfactory
11-07-2016,23.92,70.52,13.89,39.01,29.35,12.46,0.89,9.72,24.73,79,Satisfactory
12-07-2016,28.42,84.49,11.59,42.76,29.47,13.49,1.09,8.99,27.01,79,Satisfactory
13-07-2016,35.71,75.77,13.83,48.4,33.88,13.12,1.07,9.33,28.83,90,Satisfactory
14-07-2016,37.09,98.23,14.05,49.9,34.78,13.3,1.09,9.28,33.36,93,Satisfactory
15-07-2016,43.67,103.08,12.1,49.19,32.98,13.52,1.02,6.74,26.01,112,Moderate
16-07-2016,44.76,111.15,10.93,47.01,31.05,13.58,1.1,4.76,33.86,104,Moderate
17-07-2016,41.11,94.44,12.29,48.83,32.94,13.17,1.1,7.73,29.34,102,Moderate
18-07-2016,46.5,96.07,14.93,49.36,35.16,13.99,1.09,11.05,39.16,95,Satisfactory
19-07-2016,33.54,80.51,33.45,65.03,56.61,8.69,1.9,11.57,28.7,127,Moderate
20-07-2016,11.98,103.34,22.54,37.86,35.25,16.1,0.95,19.13,67.74,135,Moderate
23-07-2016,27.32,83.02,6.98,37.5,23.47,14.76,0.78,18.54,47.74,105,Moderate
25-07-2016,22.75,58.38,11.05,37.72,26.61,16.37,0.79,25.13,32.89,84,Satisfactory
26-07-2016,23.34,80.58,32.99,58.13,52.91,13.21,1.34,31.7,42.77,155,Moderate
27-07-2016,24.49,66.8,24.2,43.69,39.32,15.34,0.94,35.21,28.28,138,Moderate
28-07-2016,21.85,68.36,26.31,31.72,34.93,12.91,0.98,28.09,18.39,78,Satisfactory
29-07-2016,23.4,81.96,15.24,29.87,25.91,11.19,1.11,31.45,20.92,79,Satisfactory
30-07-2016,29.12,77.05,8.21,30.77,21.1,15.58,0.89,26.82,41.79,95,Satisfactory
31-07-2016,22.44,68.42,15.19,37.52,29.94,10.37,1.15,30.72,37.79,90,Satisfactory
01-08-2016,23.82,62.12,19.5,34.3,31.25,12.06,1.05,38.43,24.1,105,Moderate
02-08-2016,16.53,44.53,18.54,29.24,28.07,11.49,0.94,46.26,16.92,67,Satisfactory
03-08-2016,18.76,43.55,23.96,29.85,32.4,9.98,1.04,29.69,13.1,73,Satisfactory
04-08-2016,23.64,52.09,22.64,31.32,32.14,11.62,1.1,26.89,13.39,79,Satisfactory
05-08-2016,27.8,82.45,18.95,34.95,31.16,11.67,1.25,32.89,17.76,89,Satisfactory
06-08-2016,24.73,89.99,15.38,33.23,27.66,11.63,1.17,32.63,21.29,95,Satisfactory
07-08-2016,25.74,86.21,13.79,31.69,25.72,7.13,0.96,34.28,25.35,89,Satisfactory
08-08-2016,30.37,92.09,14.75,34.63,27.86,17.47,1.07,27.96,22.94,94,Satisfactory
09-08-2016,36.85,103.97,12.44,43.12,30.27,22.93,1.25,44.65,28.44,103,Moderate
10-08-2016,23.77,96.36,18.46,33.73,30.2,13.62,1.09,37.9,24.9,101,Moderate
11-08-2016,23.39,85.46,10.64,29.54,16.74,13.05,0.64,35.36,29.24,93,Satisfactory
12-08-2016,39.42,107.82,21.52,53,17.44,15.32,0.62,47.11,28.33,85,Satisfactory
13-08-2016,34.14,106.86,12.43,41.82,29.63,13.73,1.18,31.44,36.75,106,Moderate
14-08-2016,28.14,93.6,10.66,34.82,24.89,13.82,1.02,35.15,35.95,101,Moderate
15-08-2016,27.92,78.98,14.5,35.64,28.18,13.08,1.07,35.46,25.98,89,Satisfactory
16-08-2016,25.7,80.46,20.26,39.56,34.38,12.96,1.15,26.2,24.28,83,Satisfactory
17-08-2016,28.17,101.92,17.67,38.75,32.06,11.37,1.03,32.12,28.17,90,Satisfactory
18-08-2016,26.93,102.19,16.38,38.95,31.19,10.95,1.1,39.42,33.16,102,Moderate
19-08-2016,33.79,101.42,10.69,38.88,26.9,12.64,1.11,39.92,47.65,102,Moderate
20-08-2016,33.73,102.06,8.33,33.98,22.76,13.38,1.02,35.43,42.24,102,Moderate
21-08-2016,38.2,107.83,6.13,33.87,21.06,13.87,0.98,31.97,57.54,111,Moderate
22-08-2016,47.01,111.73,8.58,36.96,24.39,13.95,1.17,37.63,49.99,108,Moderate
23-08-2016,31.59,97.97,10.01,33.61,23.78,12.53,0.87,37.4,44.39,102,Moderate
24-08-2016,30.39,89.86,11.86,38.65,29.1,12.71,0.86,38.41,42.86,93,Satisfactory
25-08-2016,30.35,77.62,14.44,35.76,28.26,10.98,0.79,28.78,44.58,87,Satisfactory
26-08-2016,32.44,72.64,17.68,28.77,27.26,12.54,0.64,30.59,41.06,87,Satisfactory
27-08-2016,17.78,63.29,10.06,23.5,18.95,10.75,0.39,28.17,35.82,66,Satisfactory
28-08-2016,9.53,32.93,6.68,12.87,11.25,10.66,0.43,11.18,43.5,63,Satisfactory
29-08-2016,8.91,34.51,6.21,12.77,10.85,9.96,0.41,11.8,41.29,53,Satisfactory
30-08-2016,10.56,35.2,8.47,12.97,12.65,9.48,0.47,12.63,38.43,60,Satisfactory
31-08-2016,26.85,54.03,12.01,27.72,22.46,9.75,0.6,27.67,48.49,77,Satisfactory
01-09-2016,29.45,66.39,12.64,38.84,28.34,8.69,0.8,37.97,41.44,77,Satisfactory
02-09-2016,26.88,74.2,9.94,30.88,22.46,8.49,0.64,36.41,39.52,71,Satisfactory
03-09-2016,26.75,57.16,18.67,32.96,29.98,7.5,0.79,27,19.97,68,Satisfactory
04-09-2016,37.11,57.14,13.96,26.57,23.37,8.45,0.46,21.12,17.67,67,Satisfactory
06-09-2016,42.4,91.61,17.32,35.13,32.18,8.91,0.79,28.26,58.59,102,Moderate
07-09-2016,42.73,94.73,16.83,37.04,30.6,10.34,0.66,24.68,46,101,Moderate
08-09-2016,42.7,101.98,15.86,42.25,32.4,11,0.7,31.11,40.2,98,Satisfactory
09-09-2016,46.08,91.88,12.73,36.83,27.44,12.77,0.69,34.53,40.09,96,Satisfactory
10-09-2016,63.33,98.79,26.4,41.67,39.99,13.62,1.06,30.31,27.79,98,Satisfactory
11-09-2016,52.77,88.89,19.96,39.21,33.93,10.4,0.87,30.83,70.49,160,Moderate
12-09-2016,41.43,79.75,17.8,33.77,29.73,18.81,0.71,31.09,72.47,188,Moderate
13-09-2016,22.89,54.42,16.53,28.03,25.98,17.05,0.59,18.84,27.81,73,Satisfactory
14-09-2016,28.28,55.62,18.71,23.62,25.46,11.15,0.73,15.97,32.27,64,Satisfactory
15-09-2016,13.46,27.95,6.94,14.2,12.09,10.1,0.51,12.08,42.39,71,Satisfactory
16-09-2016,24.93,47.83,9.28,25.39,19.28,9.54,0.58,20.6,37.3,65,Satisfactory
17-09-2016,33.68,71.78,13.95,36.89,28.37,10.65,0.78,35.63,25.04,65,Satisfactory
18-09-2016,39.38,79.07,11.08,36.34,25.96,9.04,0.66,41.44,31.44,86,Satisfactory
19-09-2016,36.02,92.91,20.75,39.78,34.87,7.14,0.58,25.49,57.61,151,Moderate
21-09-2016,13.75,29.45,7.76,14.05,14.1,12.09,0.4,10.11,26.54,49,Good
22-09-2016,12.67,27.2,5.69,8.62,8.45,15.01,0.42,15.35,38.02,55,Satisfactory
23-09-2016,19.93,33.15,10.92,20.31,18.05,11.57,0.94,15.79,35.97,90,Satisfactory
24-09-2016,27.57,55.19,16.3,35.71,29.57,9.9,1.27,19.36,22.13,78,Satisfactory
25-09-2016,23.78,51.23,11.29,26.18,21.16,9.16,1.02,15.03,30.47,85,Satisfactory
26-09-2016,36.71,64.6,26.67,36.36,39.43,8.64,1.3,19,25.59,89,Satisfactory
27-09-2016,62.52,103.15,55.13,56.17,70.43,9.34,1.91,20.52,16.48,108,Moderate
28-09-2016,72.4,118.07,30.97,45.89,46.51,9.35,1.44,11.11,21.68,130,Moderate
29-09-2016,60.73,92.72,24.07,44.06,39.43,12.31,1.28,18.29,25.04,113,Moderate
30-09-2016,54.76,96.82,34.71,50.32,51.48,14.59,1.3,22.54,17.98,104,Moderate
01-10-2016,40.24,72.92,20.02,38.29,35.6,12.82,1.01,16.68,25.81,94,Satisfactory
02-10-2016,71.57,99.21,31.72,43.55,44.87,10.45,1.18,16.61,53.92,132,Moderate
03-10-2016,42.06,113.21,16.29,43.26,34.26,12.73,0.82,29,42.97,133,Moderate
04-10-2016,44.1,93.36,24.07,45.35,41.13,14.02,1.03,24.17,25.85,104,Moderate
05-10-2016,53.43,101.42,24.25,44.43,40.98,15.85,1.03,25.07,20.23,100,Satisfactory
06-10-2016,51.42,94.82,28.9,41.1,44.03,16.59,0.97,17.9,31.39,105,Moderate
07-10-2016,37.61,79.35,27.42,42.34,41.06,16.35,0.76,13.62,19.19,85,Satisfactory
08-10-2016,50.36,102.59,37.53,50.06,53.46,14.86,1.23,20.11,11.78,95,Satisfactory
09-10-2016,43.12,87.66,18.73,42.1,34.46,14.2,0.82,19.9,16.01,97,Satisfactory
10-10-2016,45.73,92.35,23.78,40.62,38.55,14.28,1.06,22.14,26.02,90,Satisfactory
11-10-2016,43.88,83.88,22.09,30.35,31.25,15.63,1.15,11.31,28.35,108,Moderate
14-10-2016,89.96,94,37.46,88.72,71.16,12.63,1.34,17.6,14.47,110,Moderate
18-10-2016,65.83,112.08,18.3,45.39,37.2,16.54,1.1,14.24,47.41,123,Moderate
19-10-2016,66.14,105.53,10.22,50.18,33.13,16.96,1.04,12.48,42.08,121,Moderate
20-10-2016,64.67,112.79,12.26,56.35,37.63,14.86,1.13,15.17,43.97,116,Moderate
21-10-2016,64.92,101.08,18.34,60.75,43.29,14.18,1.23,13.5,33.92,118,Moderate
22-10-2016,66.93,100.71,23.2,68.56,51.78,15.93,1.34,18.09,28.29,122,Moderate
23-10-2016,62.97,103.08,17.85,67.64,46.25,9.58,1.19,26.49,30,109,Moderate
24-10-2016,63.12,103.67,33.73,83.01,60.72,14.34,1.5,33.28,38.47,126,Moderate
25-10-2016,60.85,108.64,26.17,62.1,50.81,18.51,1.29,22.65,39.3,142,Moderate
26-10-2016,63.31,96.76,21.42,67.62,48.9,19.04,1.21,15.88,44.27,110,Moderate
27-10-2016,47.62,101.06,4.61,26.48,17.43,17.51,0.8,12.67,53.25,104,Moderate
28-10-2016,44.65,76.94,7.7,32.65,22.73,18.43,1.01,6.99,53.31,147,Moderate
29-10-2016,44.44,81.9,4.92,25,18.04,14.71,0.86,7.73,26.08,91,Satisfactory
30-10-2016,44.81,74.15,4.97,24.3,15.52,12.08,0.79,14.42,44.42,76,Satisfactory
31-10-2016,58.43,96.69,4.27,29.01,19.39,11.75,0.97,10.38,52.16,89,Satisfactory
01-11-2016,64.91,93.18,9.34,43.66,29.3,10.9,1.06,11.89,38.43,117,Moderate
02-11-2016,37.5,65.46,4.61,19.09,13.81,10.7,0.77,7.61,34.08,82,Satisfactory
03-11-2016,29.34,53.15,5.17,18.55,13.97,10.38,0.77,9.45,36.52,67,Satisfactory
04-11-2016,12.94,30.1,7.27,17.48,13.97,8.39,0.67,5.62,24.79,55,Satisfactory
05-11-2016,18.14,36.89,7.57,21.59,16.19,7.69,0.71,8.4,31.53,56,Satisfactory
06-11-2016,48.11,92.4,13.64,45.09,32.12,8.72,1.05,14.04,38.94,83,Satisfactory
07-11-2016,71.88,112.68,10.83,54.12,35.49,9.21,1.21,12.59,40.8,113,Moderate
08-11-2016,67.16,105.6,24.19,70.94,46.62,10.33,1.46,18.95,34.74,133,Moderate
09-11-2016,63.98,104.47,31.77,71.81,58.66,12.69,1.61,26.27,39.16,114,Moderate
10-11-2016,60.85,101.39,19.14,51.12,32.27,15.22,1.81,32.42,29.42,112,Moderate
11-11-2016,68.5,94,24.41,61.14,49.08,15.74,1.64,19.71,56,114,Moderate
12-11-2016,56,94,16.46,60.94,43,16.97,1.62,19.54,67.32,132,Moderate
13-11-2016,78.65,120.82,3.86,28.57,16.77,15.63,1.2,8.27,80,129,Moderate
14-11-2016,77.51,115.91,3.53,26.66,16.63,14.09,1.15,9.79,75.77,163,Moderate
15-11-2016,68.7,106.53,3.72,26.07,16.54,12.74,1.13,8.59,70.65,150,Moderate
16-11-2016,72.89,108.85,3.44,23.94,15.26,12.01,1.18,10.66,92.13,127,Moderate
17-11-2016,76.4,120.03,3.77,31.02,18.94,11.23,1.14,12.94,97.23,151,Moderate
18-11-2016,71.11,122.95,4.09,33.96,18.8,10.81,1.11,12.68,91.7,148,Moderate
19-11-2016,64.44,113.83,11.55,61.25,38.44,10.06,1.45,17.52,56.33,120,Moderate
20-11-2016,66.78,107.4,15.84,63.11,42.55,10.25,1.53,16.82,56.55,119,Moderate
21-11-2016,66.07,110.91,19.17,68.27,45.92,12.38,1.59,18.76,48.74,125,Moderate
